id,aplicacion,sistema_operativo,es_gratuita,anio_lanzamiento,descargas,puntuacion_tienda
1,Trippledex,Windows Phone,TRUE,2009,3360878,9
2,Span,iOS,TRUE,2020,18384530,8.6
3,Tampflex,Windows Phone,TRUE,2006,2359494,5
4,Home Ing,Todos,FALSE,2007,25927566,4.6
5,Job,iOS,TRUE,20018,18374353,8.1
6,Keylex,Todos,FALSE,2013,5825831,9.6
7,Stim,Android,TRUE,2015,24407272,7.6
8,Voltsillam,Windows Phone,TRUE,2006,23485438,7.4
9,Span,Android,FALSE,2020,5011043,1.7
10,Tres-Zap,Windows Phone,TRUE,2005,4834475,5
11,Transcof,iOS,FALSE,2016,9949462,4.1
12,Tampflex,Todos,FALSE,2016,18868097,4.8
13,Vagram,Todos,FALSE,2011,3576894,6.8
14,Fix San,iOS,TRUE,20100,28301307,1.1
15,Bitwolf,Todos,TRUE,2010,23700,7.1
16,Subin,Android,TRUE,2016,23422999,3.5
17,Aerified,iOS,TRUE,2011,13158460,3.5
18,Wrapsafe,iOS,TRUE,2008,28296758,7.5
19,Namfix,Android,TRUE,2011,1419751,2.4
20,Voltsillam,Todos,FALSE,2013,25963292,10
21,Tresom,Todos,TRUE,2018,1337046,3.9
22,Voltsillam,Todos,FALSE,2009,2432996,7.4
23,Asoka,Windows Phone,TRUE,2009,5342896,7.6
24,,Android,FALSE,2013,4394137,2.4
25,Zontrax,iOS,TRUE,2012,8356598,9
26,Fintone,Windows Phone,FALSE,2005,7663754,2
27,Flexidy,Android,TRUE,2009,17715328,8.9
28,,Windows Phone,TRUE,2013,,1.1
29,Tampflex,Todos,TRUE,2009,5869878,8.5
30,Y-find,Windows Phone,TRUE,2008,14254613,5
31,Andalax,Todos,FALSE,2009,16821100,6.9
32,Pannier,Todos,FALSE,2018,14997312,3.2
33,Pannier,Todos,FALSE,2013,15626305,7.3
34,Bamity,Todos,TRUE,2019,8990450,6.9
35,Voltsillam,Android,FALSE,2007,2176648,7.7
36,Biodex,Windows Phone,FALSE,2019,1359992,6.8
37,Fintone,Todos,FALSE,2010,12248129,8.5
