"province","area","gdp","illiteracy","poverty","deficient_infra","school_dropout","no_healthcare","birth_mortal","population","movie_theatres_per_cap","doctors_per_cap"
"Buenos Aires","Pampas",292689867.987582,1.38324,8.16779764249112,5.51185587030199,0.766168239903095,48.7947,4.4,15625084,6.01596765815787E-06,0.004835622003696
"Catamarca","Noreste",6150949.15918587,2.34414,9.23409512044472,10.4644842714791,0.951963066122332,45.0456,1.5,367828,5.43732396663658E-06,0.004502104244375
"Córdoba","Sierras",69363739.1881543,2.71414,5.38238026951109,10.4360863069147,1.03505578423173,45.764,4.8,3308876,1.11820448998391E-05,0.010175358641424
"Corrientes","Litoral",7968012.98234275,5.60242,12.7471906585473,17.4388582962629,3.86426522478612,62.1103,5.9,992595,4.02984097240063E-06,0.004495287604713
"Chaco","Litoral",9832642.67153144,7.51758,15.8626192230504,31.4795272862297,2.57746208023846,65.5104,7.5,1055259,2.84290396954681E-06,0.003604802233385
"Chubut","Patagonia",17747854.2076598,1.54806,8.05175220390819,8.04461772378522,0.586309424381113,39.5473,3,509108,1.57137581809754E-05,0.004498063279304
"Entre Ríos","Litoral",20743409.0958049,3.18558,7.28875109891987,18.7945684231411,1.88718808974629,48.6571,3.1,1235994,5.66345791322612E-06,0.004678825301741
"Formosa","Litoral",3807057.41864849,4.61064,17.0355832108501,28.0049845464978,2.26897409795274,65.8126,16.2,530162,3.77243182272588E-06,0.003440457822326
"Jujuy","Noreste",6484938.33369074,2.15139,13.3679651396589,12.4831787441276,0.721294504208487,54.1615,3.7,673307,2.97041319932809E-06,0.003958075588105
"La Pampa","Pampas",6990262.45761227,1.5393,3.39877369634922,16.5057144046911,0.204093365528351,45.4764,7.2,318951,1.88116669958708E-05,0.005414624816978
"La Rioja","Noreste",5590515.62831714,2.77321,10.8751518250975,7.40325431591597,3.84494944976289,40.8341,11.4,333642,1.19888982801925E-05,0.005092284544512
"Mendoza","Cuyo",33431369.1065576,2.2002,5.69279842964053,3.8398518201895,1.06371785699255,50.5843,4.4,1738929,8.05093249925673E-06,0.005720187540722
"Misiones","Litoral",9646825.83451666,6.86395,13.5297875878487,8.32574026219746,3.12912444194507,57.8339,8.1,1101593,1.81555256796294E-06,0.002880374149073
"Neuquén","Patagonia",22564106.155859,1.94375,9.45663464867846,11.2672781035433,1.39350381310656,48.7431,3.3,551266,9.07003152742959E-06,0.005066519611222
"Río Negro","Patagonia",10264584.418045,2.03142,8.6783907436645,14.8854444477008,0.408042043825773,49.9463,0.8,638645,9.39489074524971E-06,0.004897869708524
"Salta","Noreste",13438834.9101531,3.34609,16.8705000115016,14.1823029399538,1.48202995956028,60.423,5.8,1214441,4.11712055176003E-06,0.003991136662876
"San Juan","Cuyo",8262308.56777371,2.96326,9.0507838910079,3.9143901213101,3.29841291160209,52.9684,4.2,681055,5.87324078084736E-06,0.005043645520553
"San Luis","Cuyo",11780849.3628145,3.43365,6.59377100604974,9.67989417989418,2.00017242865765,51.6154,3.8,432310,4.62630982396891E-06,0.006102102657815
"Santa Cruz","Patagonia",11663738.0449566,0.791485,8.02476183227411,7.41136391004899,0.28926223520817,29.2321,3.3,273964,1.09503438407966E-05,0.004270634097911
"Santa Fe","Litoral",81588690.274935,1.97594,6.0810124144866,11.8691952027839,2.87218071262542,41.966,2.6,3194537,6.57372257701194E-06,0.00667170234685
"Santiago del Estero","Noreste",8387858.7309371,6.27209,11.7590001376318,20.4914331564626,2.32559808269112,63.6637,1.7,874006,3.43247071530401E-06,0.00282149092798
"Tucumán","Noreste",13856198.9040229,3.77037,11.2142392069841,6.466665286633,0.977284733227691,48.2242,3,1448188,4.83362657334545E-06,0.005500667040467
"Tierra del Fuego","Patagonia",,,,,,,,,,
