Artwork ID,Title,Artist ID,Name,Date,Medium,Dimensions,Acquisition Date,Credit,Catalogue,Department,Classification,Object Number,Diameter (cm),Circumference (cm),Height (cm),Length (cm),Width (cm),Depth (cm),Weight (kg),Duration (s)
2,"Ferdinandsbrücke Project, Vienna, Austria, Elevation, preliminary version",6210,Otto Wagner,1896,Ink and cut-and-pasted painted pages on paper,"19 1/8 x 66 1/2"" (48.6 x 168.9 cm)",1996-04-09,Fractional and promised gift of Jo Carole and Ronald S. Lauder,Y,Architecture & Design,Architecture,885.1996,,,48.6,,168.9,,,
3,"City of Music, National Superior Conservatory of Music and Dance, Paris, France, View from interior courtyard",7470,Christian de Portzamparc,1987,Paint and colored pencil on print,"16 x 11 3/4"" (40.6 x 29.8 cm)",1995-01-17,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,1.1995,,,40.6401,,29.8451,,,
4,"Villa near Vienna Project, Outside Vienna, Austria, Elevation",7605,Emil Hoppe,1903,"Graphite, pen, color pencil, ink, and gouache on tracing paper","13 1/2 x 12 1/2"" (34.3 x 31.8 cm)",1997-01-15,Gift of Jo Carole and Ronald S. Lauder,Y,Architecture & Design,Architecture,1.1997,,,34.3,,31.8,,,
5,"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 1: The Park",7056,Bernard Tschumi,1980,Photographic reproduction with colored synthetic laminate,"20 x 20"" (50.8 x 50.8 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,2.1995,,,50.8,,50.8,,,
6,"Villa, project, outside Vienna, Austria, Exterior perspective",7605,Emil Hoppe,1903,"Graphite, color pencil, ink, and gouache on tracing paper","15 1/8 x 7 1/2"" (38.4 x 19.1 cm)",1997-01-15,Gift of Jo Carole and Ronald S. Lauder,Y,Architecture & Design,Architecture,2.1997,,,38.4,,19.1,,,
7,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.1,,,35.6,,45.7,,,
8,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photographs,"Each: 14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.1-24,,,35.6,,45.7,,,
9,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.10,,,35.6,,45.7,,,
10,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.11,,,35.6,,45.7,,,
11,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.12,,,35.6,,45.7,,,
