cruce,fecha,hora_inicio,hora_final,livianos,colectivos,pesados,observaciones
AV. ELCANO Y AV. TRIUNVIRATO,2018-06-06,17,18,1281,71,8,
AV. GAONA Y GRAL. JOSÉ GERVASIO ARTIGAS,2018-05-23,17,18,3262,58,8,
SANTO TOME Y IRIGOYEN,2018-05-29,16,17,1193,16,7,
SANTO TOME Y IRIGOYEN,2018-05-29,18,19,1177,15,1,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,17,18,680,1,0,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,10,11,440,0,0,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,15,16,992,15,8,
SIMBRON Y VIRGILIO,2019-03-26,8,9,514,0,1,
AV. ELCANO Y AV. TRIUNVIRATO,2018-06-06,9,10,1451,75,12,
"DELLEPIENE, LUIS TTE GRAL. (NORTE) Y LACARRA AV.",2018-06-07,8,9,2158,50,87,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,15,16,503,4,1,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,10,11,295,0,0,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,16,17,1451,7,8,
AV. ELCANO Y GUZMAN,2018-06-06,17,18,1893,156,10,
DORREGO AV. Y CASTILLO,2018-12-12,18,19,1152,24,1,
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,10,11,1061,51,19,
SAN BLAS Y IRIGOYEN,2018-05-29,16,17,1383,5,11,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-01-22,18,19,306,64,1,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-03-20,12,13,397,63,2,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,17,18,620,0,0,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,17,18,1502,1,5,
DORREGO AV. Y CORDOBA AV.,2018-12-12,17,18,3432,76,7,
SIMBRON Y IRIGOYEN,2018-05-29,9,10,1033,13,6,
SIMBRON Y IRIGOYEN,2018-05-29,17,18,1353,10,5,
"ROSARIO Y MORENO, MARIA JOSE AV.",2018-08-07,18,19,2563,239,3,
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,8,9,1443,40,12,
SIMBRON Y IRIGOYEN,2018-05-29,19,20,1210,8,3,
"DELLEPIENE, LUIS TTE GRAL. (SUR) Y LACARRA AV.",2018-06-07,8,9,2767,84,104,
SANTO TOME Y IRIGOYEN,2018-05-29,19,20,970,12,2,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,19,20,470,1,0,
RIVADAVIA AV. Y LA PLATA AV.,2018-08-09,8,9,2193,138,3,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-01-22,9,10,462,73,4,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,9,10,2188,9,3,NO SE CONTARON COLECTIVOS POR METROBUS
"ACOYTE AV. Y ARANGUREN JUAN F., DR.",2018-06-26,9,10,1764,146,9,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,10,11,2083,9,4,NO SE CONTARON COLECTIVOS POR METROBUS
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,16,17,1209,12,9,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-03-20,18,19,383,61,2,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,11,12,318,0,0,
SIMBRON Y VIRGILIO,2019-03-26,19,20,579,0,0,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,18,19,689,1,0,
CHACO Y DOBLAS,2018-08-16,9,10,568,3,0,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,9,10,1488,92,11,
SANTO TOME Y IRIGOYEN,2018-05-29,11,12,761,12,4,
"DE LOS INCAS AV. Y ACHA, MARIANO, GRAL.",2018-06-13,12,13,1589,25,16,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,17,18,1291,10,4,
SAN BLAS Y IRIGOYEN,2018-05-29,18,19,1653,6,1,
AV. EVA PERON Y AV. LACARRA,2018-03-15,18,19,4468,213,62,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-03-20,17,18,400,72,2,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,18,19,1866,98,12,
"LACROZE, FEDERICO AV. Y AV. TRIUNVIRATO",2018-06-06,8,9,1161,314,2,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,15,16,1065,16,8,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,9,10,1021,29,8,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,11,12,902,5,4,
SENILLOSA Y CHACO,2018-08-16,17,18,761,30,2,
CHACO Y DOBLAS,2018-08-16,18,19,479,0,0,
