Año,Mes,Delegación,Totales por delegación por mes
2019,10,,13
2019,10,Bahía Blanca - Bs.As.,13
2019,,Bahía Blanca - Bs.As.,13
2019,10,Bahía Blanca - Bs.As.,13
2019,10,Bahía Blanca - Bs.As.,13
2019,10,Bahía Blanca - Bs.As.,13
,10,Bahía Blanca - Bs.As.,13
2019,10,Bahía Blanca - Bs.As.,13
2019,10,Bahía Blanca - Bs.As.,13
2019,10,Bahía Blanca - Bs.As.,13
2019,10,Bahía Blanca - Bs.As.,13
2019,10,Bahía Blanca - Bs.As.,13
2019,10,Bahía Blanca - Bs.As.,13
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,C. Rivadavia,30
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
2019,10,Capital Federal,664
