producto,origen,fecha,cantidad (KG),precio (DOLARES),proveedor_id
Eggplant Oriental,China,9/3/2008,353,6196,1474
Soy Protein,Philippines,28/8/2003,415,4871,1416
Gelatine Powder,United States,19/10/2017,-22,14461,1336
Eel - Smoked,China,20/5/2015,350,4494,1064
Sage - Ground,Philippines,1/2/2005,230,3067,1161
Milk - 2%,Philippines,19/2/2008,197,1754,1420
"Mushroom - Oyster, Fresh",Russia,20/11/2004,221,5375,1174
Vinegar - Tarragon,Indonesia,13/6/2015,179,3424,1184
Flour - Chickpea,Paraguay,23/12/2019,42,623,1208
Carbonated Water - White Grape,China,4/11/2014,184,5388,1123
Cherries - Frozen,Russia,22/7/2015,128,2033,1146
"Cheese - Cheddar, Mild",Slovenia,2/10/2012,323,6473,1142
Lamb - Loin Chops,Albania,29/10/2018,318,5257,1172
Pasta - Agnolotti - Butternut,Libya,22/1/2001,211,5741,1210
Pastry - Lemon Danish - Mini,Haiti,29/9/2014,333,9778,1180
Shopper Bag - S - 4,Finland,15/12/2003,139,2685,1353
Juice - V8 Splash,Mexico,15/7/2018,,18103,1239
Ostrich - Prime Cut,Indonesia,28/2/2015,201,3858,1114
Vinegar - White,Morocco,4/6/2014,195,3118,1023
Green Tea Refresher,Indonesia,24/8/2018,385,7828,1285
"Bread - White, Unsliced",Indonesia,21/2/2020,102,2164,1224
Samosa - Veg,Japan,16/2/2011,296,3459,1018
Cucumber - English,Brazil,7/1/2018,177,3214,1080
The Pop Shoppe - Cream Soda,Trinidad and Tobago,6/7/2010,132,3210,1460
Cream - 18%,Indonesia,17/11/2012,300,3164,1001
Tea - Grapefruit Green Tea,United States,8/7/2020,366,9484,1191
Melon - Cantaloupe,Indonesia,18/6/2014,362,6344,1139
Clam Nectar,Philippines,30/1/2010,291,3367,1027
Puree - Mocha,France,26/12/2016,376,4973,1368
"Syrup - Golden, Lyles",China,16/8/2015,320,7277,1286
Ham - Virginia,China,17/2/2011,394,5347,1100
Pepper Squash,China,1/11/2012,366,4428,1364
"Pesto - Primerba, Paste",Philippines,2/2/2002,392,9353,1091
Tequila Rose Cream Liquor,China,3/2/2004,182,4421,1150
Beef - Montreal Smoked Brisket,Serbia,29/3/2015,422,13791,1038
Bandage - Fexible 1x3,Tunisia,18/12/2006,292,5575,1318
Soap - Mr.clean Floor Soap,Argentina,22/9/2008,47,1298,1275
Extract Vanilla Pure,Russia,26/10/2018,395,7242,1362
Kiwano,Indonesia,14/9/2013,332,1938,1215
Nantucket Orange Juice,China,17/11/2004,99,2318,1283
Wine - Lamancha Do Crianza,Czech Republic,19/5/2001,107,3012,1109
Pickle - Dill,Russia,6/4/2001,443,5688,1067
Cumin - Whole,France,27/3/2019,426,5300,1076
Rice Wine - Aji Mirin,Uganda,15/7/2009,399,8840,1223
"Mushroom - Morels, Dry",Russia,19/5/2011,428,8915,1004
Vaccum Bag - 14x20,Chile,13/10/2008,332,6243,1393
Creamers - 10%,China,8/3/2015,277,4108,1079
Pea - Snow,Sweden,2/8/2008,279,2768,1200
"Veal - Tenderloin, Untrimmed",Brazil,16/9/2018,71,2081,1399
Magnotta - Bel Paese White,China,4/1/2014,208,5360,1003
"Pasta - Lasagne, Fresh",Russia,20/11/2001,201,4804,1262
"Oil - Shortening,liqud, Fry",Japan,6/10/2007,277,6787,1311
Tea - Decaf 1 Cup,China,27/7/2011,340,6332,1427
Beets - Mini Golden,Portugal,18/3/2010,384,7694,1013
Coffee Guatemala Dark,China,6/12/2019,215,4410,1420
Curry Paste - Green Masala,North Korea,1/1/2020,205,5249,1327
Chocolate - Liqueur Cups With Foil,Indonesia,31/1/2005,454,15004,1238
"Crush - Grape, 355 Ml",Philippines,26/11/2001,174,3836,1138
Cheese - Shred Cheddar / Mozza,Thailand,3/7/2012,288,8855,1322
"Crab - Claws, Snow 16 - 24",Kazakhstan,4/12/2002,271,7031,1062
Quail Eggs - Canned,China,30/4/2008,296,5721,1197
Sugar - Crumb,Argentina,24/12/2015,217,2989,1068
Dasheen,China,21/7/2011,492,3466,1452
Kumquat,Indonesia,8/4/2008,366,2681,1088
Bread - Sour Batard,Indonesia,15/1/2009,,10582,1458
Pasta - Ravioli,Indonesia,23/1/2005,331,5010,1032
Syrup - Chocolate,Indonesia,2/7/2001,494,7779,1412
"Pork - Ham, Virginia",China,3/9/2011,259,5619,1242
Ecolab - Balanced Fusion,Russia,24/8/2009,229,5015,1352
Bar - Granola Trail Mix Fruit Nut,Indonesia,10/8/2010,360,11141,1338
Jolt Cola - Red Eye,Indonesia,9/4/2006,388,7606,1429
Bread - Onion Focaccia,Norway,27/11/2006,513,10762,1398
Sauce - Mint,Russia,13/8/2004,535,6903,1098
The Pop Shoppe - Cream Soda,Indonesia,4/12/2006,301,7350,1201
Relish,Philippines,18/9/2018,487,3118,1114
Lamb Tenderloin Nz Fr,South Africa,11/5/2011,60,1260,1170
Bread Base - Goodhearth,Bosnia and Herzegovina,13/11/2020,51,1221,1467
Island Oasis - Pina Colada,Indonesia,12/7/2010,199,4938,1188
"Juice - Pineapple, 48 Oz",Poland,28/8/2020,253,6124,1189
Beef - Rib Eye Aaa,Russia,2/12/2014,97,1602,1039
Rice - Sushi,France,1/7/2017,103,1143,1483
"Beans - Kidney, Canned",China,6/10/2020,380,7884,1339
Coffee - Almond Amaretto,Indonesia,24/9/2018,511,13032,1137
Cookies Cereal Nut,China,4/3/2018,413,6924,1304
"Bag - Bread, White, Plain",China,30/5/2002,407,10092,1002
