id_usuario,edad_usuario,genero_usuario,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,capacidad_estacion_origen,lat_estacion_origen,long_estacion_origen,duracion_recorrido,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,capacidad_estacion_destino,lat_estacion_destino,long_estacion_destino,servicio
64951,,,2019-07-20 02:02:45,295.0,Calasanz,San Jose De Calasanz y Valle,20.0,-34.624802,-58.43768299999999,0 days 00:17:26.000000000,2019-07-20 02:20:11,227.0,Aranguren,"Aranguren, Juan F., Dr. 137",20.0,-34.6105021,-58.4327935,nuevo
31995,,,2019-07-10 20:05:06,252.0,PLAZA HERRERA,"Herrera y Quinquela Martin, Benito",16.0,-34.64451629999999,-58.3762137,0 days 00:21:19.000000000,2019-07-10 20:26:25,175.0,Constitución,"Garay, Juan De Av. 1050",36.0,-34.6267408,-58.38093489999999,nuevo
321,,,2019-05-24 23:01:57,82.0,HOSPITAL ITALIANO,Rawson 394,20.0,-34.6078917,-58.4263947,0 days 00:08:09.000000000,2019-05-24 23:10:06,143.0,BILLINGHURST Y VALENTÍN GOMEZ,Billinghurst 455,20.0,-34.604709,-58.415806999999994,nuevo
8777,,,2019-06-07 07:10:47,184.0,Pedro Echague,"Echague, Pedro 1878",20.0,-34.630612899999996,-58.3913419,0 days 00:25:45.000000000,2019-06-07 07:36:32,242.0,MALBA,San Martin De Tours 3051,20.0,-34.5771741,-58.4032162,nuevo
140628,,,2019-05-16 22:44:16,59.0,Independencia,"Independencia Av. E Irigoyen, Bernardo De",20.0,-34.617771000000005,-58.3804546,0 days 00:07:37.000000000,2019-05-16 22:51:53,73.0,Ruy Díaz de Guzmán,"Garcia, Martin Av. y Ruy Diaz De Guzman",16.0,-34.6306814,-58.3718235,nuevo
23672,,,2019-06-21 12:04:44,236.0,Plaza Rafael Hernandez,Vuelta De Obligado 2004,16.0,-34.5623422,-58.455048399999995,0 days 00:13:36.000000000,2019-06-21 12:18:20,308.0,Solar de la Abadía,Maure 1819,20.0,-34.567639,-58.436847,nuevo
428538,,,2019-07-29 11:45:57,154.0,GALLO,Gallo 789,20.0,-34.6005484,-58.412284899999996,0 days 00:40:58.000000000,2019-07-29 12:26:55,432.0,Jose Maria Moreno,"Moreno, Jose Maria Av. 141",20.0,-34.620249,-58.435877000000005,nuevo
238099,,,2019-06-04 00:05:44,323.0,ECHEVERRIA,Vidal 1981,24.0,-34.565275,-58.459401,0 days 00:32:51.000000000,2019-06-04 00:38:35,275.0,PLAZA NORUEGA,Ciudad De La Paz y Mendoza,20.0,-34.5619095,-58.45857289999999,nuevo
266338,,,2019-06-26 23:23:39,86.0,SAAVEDRA,Saavedra 1019,20.0,-34.6212681,-58.401680799999994,0 days 00:21:19.000000000,2019-06-26 23:44:58,155.0,PARQUE JOSE EVARISTO URIBURU,Almafuerte Av. 300,20.0,-34.640961700000005,-58.412560600000006,nuevo
355657,,,2019-07-18 01:24:12,130.0,RETIRO II,,40.0,-34.592105600000004,-58.3745419,0 days 00:17:46.000000000,2019-07-18 01:41:58,59.0,Independencia,"Independencia Av. E Irigoyen, Bernardo De",20.0,-34.617771000000005,-58.3804546,nuevo
35432,,,2019-07-31 10:31:32,23.0,Suipacha,Suipacha y Viamonte,12.0,-34.600309499999995,-58.3793463,0 days 00:23:47.000000000,2019-07-31 10:55:19,442.0,Perón,"Peron, Juan Domingo, Tte. General 338",15.0,-34.605619399999995,-58.371607,nuevo
90067,,,2019-05-23 14:05:16,244.0,Plaza Alfredo Nobel,Hamburgo 3310,20.0,-34.5874735,-58.4842469,0 days 00:25:19.000000000,2019-05-23 14:30:35,229.0,PLAZOLETA CELEDONIO FLORES,Cordoba 6599,12.0,-34.5813811,-58.4514575,nuevo
127137,,,2019-05-04 15:09:29,44.0,Ecoparque,Del Libertador Av. 3260,20.0,-34.5755148,-58.413882900000004,0 days 02:38:18.000000000,2019-05-04 17:47:47,44.0,Ecoparque,Del Libertador Av. 3260,20.0,-34.5755148,-58.413882900000004,nuevo
364104,,,2019-07-09 19:09:56,216.0,Coronel Diaz,Guemes 3330,20.0,-34.5900976,-58.4114907,0 days 00:34:07.000000000,2019-07-09 19:44:03,134.0,DON BOSCO,Don Bosco 3490,20.0,-34.611801299999996,-58.4150532,nuevo
13188,,,2019-03-21 10:15:02,23.0,Suipacha,Suipacha y Viamonte,12.0,-34.600309499999995,-58.3793463,0 days 00:11:09.000000000,2019-03-21 10:26:11,12.0,Plaza Vicente Lopez,Parana y Juncal,16.0,-34.5927096,-58.38880699999999,nuevo
330690,,,2019-07-31 20:55:10,286.0,BONIFACIO Y CARABOBO,"Bonifacio, Jose 1913",16.0,-34.6304712,-58.455111200000005,0 days 00:16:09.000000000,2019-07-31 21:11:19,407.0,Parque Avellaneda,Directorio Av. y Fernandez,28.0,-34.6429977,-58.4815713,nuevo
62255,,,2019-07-20 00:02:14,20.0,Distrito Audiovisual,Zapiola y Dorrego,20.0,-34.5798619,-58.44177560000001,0 days 00:12:45.000000000,2019-07-20 00:14:59,352.0,Guemes,Guemes 4718,28.0,-34.5807104,-58.4248291,nuevo
173119,,,2019-05-21 18:22:37,104.0,Federico Lacroze,Guzman Av. 1100,30.0,-34.587617,-58.455212,0 days 01:15:55.000000000,2019-05-21 19:38:32,306.0,Paysandu y Galicia,Galicia 1220,20.0,-34.608465,-58.45585,nuevo
