DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
IRALA,305,430000,27520000,1410,90230,64,SEGUNDO,BOCA,4
Obispo San Alberto,304,440000,30580000,1447,100592,70,SEGUNDO,VILLA PUEYRREDON,12
Dean Funes 1000,306,490000,31360000,1601,102484,64,SEGUNDO,SAN CRISTOBAL,3
Rivera al 2700,127,680000,47260000,5354,372126,70,SEGUNDO,BELGRANO,13
J Bonifacio,252,475000,33012500,1885,131002,70,SEGUNDO,FLORES NORTE,7
MURGUIONDO,430,500000,32000000,1163,74419,64,SEGUNDO,VILLA LUGANO,8
ALBERDI AV.,418,750000,48000000,1794,114833,64,SEGUNDO,MATADEROS,9
Ciudad de la Paz,266,1200000,80640000,4511,303158,67,SEGUNDO,COLEGIALES,13
Tejedor 500,446,740000,51430000,1659,115314,70,SEGUNDO,PARQUE CHACABUCO,7
DIAZ VELEZ 5100,523,1600000,102000000,3059,195029,64,PRIMER,CABALLITO,6
Juana Azurduy,300,1400000,94080000,4667,313600,67,SEGUNDO,NUÑEZ,13
Juan Bautista Alberdi 2900,398,830000,53120000,2085,133467,64,SEGUNDO,FLORES NORTE,7
GRIVEO,171,280000,18816000,1637,110035,67,SEGUNDO,VILLA PUEYRREDON,12
Espinosa y Alvarez Jonte,541,450000,30240000,832,55896,67,SEGUNDO,PATERNAL,15
Cordoba al 3700,400,1800000,115200000,4500,288000,64,SEGUNDO,PALERMO,14
OLAYA,387,510000,35445000,1318,91589,70,SEGUNDO,VILLA CRESPO,15
FITZ ROY,237,1230000,78720000,5190,332152,64,SEGUNDO,PALERMO,14
Constitucion,176,230000,14720000,1307,83636,64,SEGUNDO,SAN CRISTOBAL,3
Ricardo Gutierrez 2900,257,415000,28842500,1615,112228,70,SEGUNDO,VILLA DEL PARQUE,11
CONSTITUCIÓN,289,315000,21168000,1090,73246,67,SEGUNDO,SAN CRISTOBAL,3
Ugarte,315,650000,43680000,2063,138667,67,SEGUNDO,COGHLAN,12
Capdevila,1137,530000,33920000,466,29833,64,SEGUNDO,VILLA URQUIZA,12
Ciudad De La Paz,416,1900000,127680000,4567,306923,67,SEGUNDO,BELGRANO,13
CAMPILLO,193,390000,24960000,2021,129326,64,SEGUNDO,PARQUE CHAS,15
MARTIN PESCADOR,150,297000,19008000,1980,126720,64,SEGUNDO,VILLA DEL PARQUE,11
Rocha 1200,203,175000,11200000,862,55172,64,SEGUNDO,BARRACAS ESTE,4
"RAVIGNANI, EMILIO, Dr.",265,1945000,124480000,7340,469736,64,SEGUNDO,CHACARITA,15
FRAY LUIS BELTRAN 267,261,480000,30600000,1839,117241,64,PRIMER,FLORES NORTE,7
White,367,230000,14720000,627,40109,64,SEGUNDO,SAN NICOLAS,1
Thames,357,790000,54905000,2213,153796,70,SEGUNDO,VILLA CRESPO,15
O HIGGINS,177,490000,32928000,2768,186034,67,SEGUNDO,NUÑEZ,13
Carranza al 2000,427,1495000,95680000,3501,224075,64,SEGUNDO,PALERMO,14
